"Company
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin",Bean Latitude,Bean Longitude 
Benoit Nihant,Cuyagua Village,1141,2013,0.74,Belgium,3.5,Criollo,Venezuela,6.983,-64.588
Beschle (Felchlin),Maracaibo,636,2011,0.88,Switzerland,3,Criollo,Venezuela,6.983,-64.588
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,0.72,Switzerland,3.5,,Venezuela,6.983,-64.588
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,0.70,Switzerland,3.25,Trinitario,Venezuela,6.983,-64.588
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,0.74,Switzerland,3.25,Criollo (Porcelana),Venezuela,6.983,-64.588
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,0.72,Switzerland,3.5,,Venezuela,6.983,-64.588
Bittersweet Origins,"Ocumare, prototype",565,2010,0.78,U.S.A.,3,Criollo,Venezuela,6.983,-64.588
Black Mountain,Carenero Superior,256,2008,0.70,U.S.A.,2.75,Trinitario,Venezuela,6.983,-64.588
Bonnat,"Porcelana, Venezuela",199,2008,0.75,France,4,Criollo (Porcelana),Venezuela,6.983,-64.588
Bonnat,"Ocumare, Puerto Cabello",32,2006,0.75,France,4,,Venezuela,6.983,-64.588
Bonnat,"Maracaibo, El Rosario",48,2006,0.75,France,4,Criollo,Venezuela,6.983,-64.588
Bonnat,Chuao,81,2006,0.75,France,4,Trinitario,Venezuela,6.983,-64.588
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,0.70,U.S.A.,3.5,Criollo,Venezuela,6.983,-64.588
Brasstown aka It's Chocolate,Chuao,1355,2014,0.70,U.S.A.,4,Trinitario,Venezuela,6.983,-64.588
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,0.85,U.S.A.,3.5,Trinitario,Venezuela,6.983,-64.588
Cacao Atlanta,Patanemo,600,2010,0.75,U.S.A.,2.25,,Venezuela,6.983,-64.588
Cacao Barry,Venezuela,141,2007,0.72,France,2,,Venezuela,6.983,-64.588
Cacao de Origen,Chuao,1688,2015,0.77,Venezuela,3.5,Trinitario,Venezuela,6.983,-64.588
Cacao de Origen,Rio Caribe,1692,2015,0.75,Venezuela,3.25,Trinitario,Venezuela,6.983,-64.588
Cacao de Origen,Agua Fria; Sucre region,1391,2014,0.75,Venezuela,2.5,,Venezuela,6.983,-64.588
Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,0.74,Venezuela,3.25,,Venezuela,6.983,-64.588
Cacao de Origen,"Chuao, Aragua region",1391,2014,0.75,Venezuela,3.5,Trinitario,Venezuela,6.983,-64.588
Cacao de Origen,"Chuao, Aragua region",1395,2014,0.70,Venezuela,3.75,Trinitario,Venezuela,6.983,-64.588
Cacao de Origin,Hacienda la Trinidad,1668,2015,0.74,Venezuela,3.25,,Venezuela,6.983,-64.588
Cacao Sampaka,Venezuela,537,2010,0.71,Spain,3.5,,Venezuela,6.983,-64.588
Cacao Sampaka,Venezuela,537,2010,0.77,Spain,3.5,,Venezuela,6.983,-64.588
C-Amaro,Venezuela,809,2012,0.80,Italy,3,,Venezuela,6.983,-64.588
Cao,Porcelana,1804,2016,0.75,U.S.A.,2.5,Criollo,Venezuela,6.983,-64.588
Cao,"Porcelana, Batch 5163",1804,2016,0.70,U.S.A.,3,Criollo,Venezuela,6.983,-64.588
Castronovo,"Piaroa, Amazonas, Batch 350",1574,2015,0.72,U.S.A.,3.5,,Venezuela,6.983,-64.588
Castronovo,"Guaniamo, Amazonas",1105,2013,0.70,U.S.A.,3.25,,Venezuela,6.983,-64.588
Castronovo,Guaniamo,1153,2013,0.72,U.S.A.,3,,Venezuela,6.983,-64.588
Cello,Venezuela,1251,2014,0.70,U.S.A.,2.75,,Venezuela,6.983,-64.588
Chocola'te,Venezuela,647,2011,0.68,U.S.A.,3.75,,Venezuela,6.983,-64.588
Chocolate Con Amor,Ocumare,1764,2016,0.80,U.S.A.,3,Criollo (Ocumare),Venezuela,6.983,-64.588
"Chocolate Tree, The",Carenero Superior,1582,2015,0.80,Scotland,3.75,Trinitario,Venezuela,6.983,-64.588
ChocoReko,Patanemo,1454,2015,0.77,Japan,3,Criollo,Venezuela,6.983,-64.588
Chocovic,Ocumare,209,2008,0.71,Spain,3.5,Criollo,Venezuela,6.983,-64.588
Choklat,Ocumare,377,2009,0.80,Canada,2.5,Criollo,Venezuela,6.983,-64.588
Choklat,Ocumare,377,2009,0.70,Canada,3,Criollo,Venezuela,6.983,-64.588
Chuao Chocolatier,Choroni,445,2009,0.61,U.S.A.,3,Criollo,Venezuela,6.983,-64.588
Chuao Chocolatier (Pralus),Chuao,486,2010,0.77,U.S.A.,2.75,Trinitario,Venezuela,6.983,-64.588
Compania de Chocolate (Salgado),Sur del Lago,579,2010,0.70,Argentina,3.25,,Venezuela,6.983,-64.588
Compania de Chocolate (Salgado),Carenero Superior,292,2008,0.80,Argentina,2.75,Trinitario,Venezuela,6.983,-64.588
Compania de Chocolate (Salgado),Ocumare,292,2008,0.70,Argentina,3.75,Criollo,Venezuela,6.983,-64.588
Coppeneur,Chuao,478,2010,0.70,Germany,3,Trinitario,Venezuela,6.983,-64.588
Coppeneur,Ocumare 61,558,2010,0.72,Germany,3.25,Criollo (Ocumare 61),Venezuela,6.983,-64.588
Coppeneur,Chuao 100hr,451,2009,0.70,Germany,3.5,"Criollo, Trinitario",Venezuela,6.983,-64.588
Coppeneur,Chuao 70hr,451,2009,0.70,Germany,3.75,"Criollo, Trinitario",Venezuela,6.983,-64.588
Coppeneur,"Porcelana, Venezuela",220,2008,0.72,Germany,3,Criollo (Porcelana),Venezuela,6.983,-64.588
Dandelion,"Cumboto, farmer Jose Lugo",1026,2013,0.70,U.S.A.,2.75,,Venezuela,6.983,-64.588
Dandelion,Patanemo,1026,2013,0.70,U.S.A.,3.25,,Venezuela,6.983,-64.588
Dandelion,"Mantuano, 2012",1085,2013,0.70,U.S.A.,3.5,,Venezuela,6.983,-64.588
Danta,Chuao,987,2012,0.75,Guatemala,3,Trinitario,Venezuela,6.983,-64.588
DAR,"Venezuela, batch 122",1920,2016,0.72,U.S.A.,2.75,,Venezuela,6.983,-64.588
Dark Forest,Ocumare,1550,2015,0.70,U.S.A.,3.25,,Venezuela,6.983,-64.588
Davis,Venezuela,1093,2013,0.70,U.S.A.,2.75,,Venezuela,6.983,-64.588
Debauve & Gallais (Michel Cluizel),Venezuela,263,2008,0.66,France,3.75,,Venezuela,6.983,-64.588
Dick Taylor,Mantuano,682,2011,0.75,U.S.A.,2.75,Criollo,Venezuela,6.983,-64.588
Doble & Bignall,Puerto Cabello,1688,2015,0.85,U.K.,3,,Venezuela,6.983,-64.588
Doble & Bignall,"Puerto Cabello, Mantuano",1371,2014,0.72,U.K.,3.25,Trinitario,Venezuela,6.983,-64.588
Domori,Ocumare 77,1672,2015,0.70,Italy,3.75,Criollo (Ocumare 77),Venezuela,6.983,-64.588
Domori,"IL100, H. San Jose",1109,2013,1.00,Italy,3,Criollo,Venezuela,6.983,-64.588
Domori,Guasare,863,2012,0.70,Italy,3.75,Criollo,Venezuela,6.983,-64.588
Domori,"Canoabo, Hacienda San Jose",693,2011,0.70,Italy,3.5,Criollo,Venezuela,6.983,-64.588
Domori,"Chuao, Hacienda San Jose",470,2010,0.70,Italy,3,Trinitario,Venezuela,6.983,-64.588
Domori,"Carupano, H. San Jose",227,2008,0.70,Italy,3,Trinitario,Venezuela,6.983,-64.588
Domori,Porcelana,111,2007,0.70,Italy,4,Criollo (Porcelana),Venezuela,6.983,-64.588
Domori,"Ocumare 61, Puertomar",129,2007,0.75,Italy,3.25,Criollo (Ocumare 61),Venezuela,6.983,-64.588
Domori,Granella,135,2007,0.60,Italy,3.25,Trinitario,Venezuela,6.983,-64.588
Domori,"Ocumare 67, Puertofino",192,2007,0.70,Italy,4,Criollo (Ocumare 67),Venezuela,6.983,-64.588
Domori,Sur del Lago Classificado,87,2006,0.70,Italy,3,Trinitario,Venezuela,6.983,-64.588
Domori,Carenero Superior,87,2006,0.70,Italy,3.5,Trinitario,Venezuela,6.983,-64.588
Dormouse,"Rio Caribe, Batch 7",1672,2015,0.70,U.K.,2.5,Trinitario,Venezuela,6.983,-64.588
Duffy's,Ocumare,923,2012,0.72,U.K.,3.75,,Venezuela,6.983,-64.588
Duffy's,Ocumare,765,2011,0.71,U.K.,3.5,,Venezuela,6.983,-64.588
Durci,"Rio Caribe, Tepui Treasure",1626,2015,0.70,U.S.A.,3.5,Trinitario,Venezuela,6.983,-64.588
Durci,"Carenero, Empyrean Sabor",1630,2015,0.70,U.S.A.,3.25,Trinitario,Venezuela,6.983,-64.588
Edelmond,Porcelana,1876,2016,0.68,Germany,3,Criollo,Venezuela,6.983,-64.588
El Rey,San Joaquin,1662,2015,0.70,Venezuela,3.75,,Venezuela,6.983,-64.588
El Rey,"Rio Caribe, Cariaco",439,2009,0.61,Venezuela,2.75,Trinitario,Venezuela,6.983,-64.588
El Rey,"Rio Caribe, Macuro",439,2009,0.70,Venezuela,3,Trinitario,Venezuela,6.983,-64.588
El Rey,"Carenero Superior, Apamate",206,2008,0.74,Venezuela,2.5,Criollo,Venezuela,6.983,-64.588
El Rey,"Carenero Superior, Bucare",206,2008,0.58,Venezuela,2.5,Criollo,Venezuela,6.983,-64.588
El Rey,"Carenero Superior, Mijao",206,2008,0.61,Venezuela,3,Criollo,Venezuela,6.983,-64.588
El Rey,"Carenero Superior, Gran Saman",32,2006,0.70,Venezuela,2.75,Criollo,Venezuela,6.983,-64.588
Emily's,Patanemo,1450,2015,0.79,Japan,3,,Venezuela,6.983,-64.588
Escazu,Rio Caribe,903,2012,0.70,U.S.A.,2.75,Trinitario,Venezuela,6.983,-64.588
Escazu,Carenero Superior,423,2009,0.81,U.S.A.,3.5,Criollo,Venezuela,6.983,-64.588
Escazu,Ocumare,252,2008,0.72,U.S.A.,3,Criollo,Venezuela,6.983,-64.588
Ethel's Artisan (Mars),Porcelana,666,2011,0.70,U.S.A.,2.5,Criollo (Porcelana),Venezuela,6.983,-64.588
Feitoria Cacao,Cuyagua,1736,2016,0.76,Portugal,2.5,,Venezuela,6.983,-64.588
Felchlin,Maracaibo Clasificado,48,2006,0.65,Switzerland,3,Criollo,Venezuela,6.983,-64.588
Franceschi,Choroni,1355,2014,0.70,Venezuela,3.5,,Venezuela,6.983,-64.588
Franceschi,Ocumare,1355,2014,0.70,Venezuela,3.75,,Venezuela,6.983,-64.588
Franceschi,Canoabo,911,2012,0.70,Venezuela,3.75,,Venezuela,6.983,-64.588
Franceschi,Sur del Lago,915,2012,0.60,Venezuela,3.5,,Venezuela,6.983,-64.588
Fresco,"Chuao, #218, MR, MC",745,2011,0.76,U.S.A.,3.25,Trinitario,Venezuela,6.983,-64.588
Fresco,"Chuao, #217, DR, MC",745,2011,0.70,U.S.A.,4,Trinitario,Venezuela,6.983,-64.588
Fresco,"Carenero Superior, #203, MR, SC",370,2009,0.65,U.S.A.,3.5,Criollo,Venezuela,6.983,-64.588
Guido Castagna,Lacri Blend,355,2009,0.76,Italy,3,,Venezuela,6.983,-64.588
Guittard,Ocumare,276,2008,0.65,U.S.A.,3.5,,Venezuela,6.983,-64.588
Guittard,Sur del Lago,87,2006,0.65,U.S.A.,2.5,"Trinitario, Criollo",Venezuela,6.983,-64.588
hello cocoa,Venezuela,1462,2015,0.74,U.S.A.,3.5,Criollo,Venezuela,6.983,-64.588
hexx,Venezuela,1546,2015,0.70,U.S.A.,3,,Venezuela,6.983,-64.588
Hogarth,Carenero Superior,1712,2016,0.72,New Zealand,2.75,Trinitario,Venezuela,6.983,-64.588
Holy Cacao,Mara,1466,2015,0.70,Israel,3.5,,Venezuela,6.983,-64.588
Hotel Chocolat (Coppeneur),Chuao,600,2010,0.70,U.K.,2.75,Trinitario,Venezuela,6.983,-64.588
Hummingbird,"Ocumare, Cumboto",1097,2013,0.70,Canada,3.25,"Trinitario, Criollo",Venezuela,6.983,-64.588
Hummingbird,Amazonas,1097,2013,0.70,Canada,3.75,Forastero,Venezuela,6.983,-64.588
Idilio (Felchlin),"Chuao, Venezuela",1085,2013,0.72,Switzerland,3.75,Trinitario,Venezuela,6.983,-64.588
Idilio (Felchlin),Coopertiva Amazona,725,2011,0.72,Switzerland,3.75,Criollo,Venezuela,6.983,-64.588
Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, 48hr c.",725,2011,0.72,Switzerland,3.75,,Venezuela,6.983,-64.588
Idilio (Felchlin),"Choroni, Finca Torres, 48hr c.",729,2011,0.72,Switzerland,3.25,Criollo,Venezuela,6.983,-64.588
Idilio (Felchlin),"Ocumare, H. Cata, 48hr c.",733,2011,0.72,Switzerland,3.75,Criollo,Venezuela,6.983,-64.588
Idilio (Felchlin),"Porcelana, Zulia",733,2011,0.74,Switzerland,4,Criollo,Venezuela,6.983,-64.588
Idilio (Felchlin),"Ocumare, H. Cata, w/ nibs",737,2011,0.72,Switzerland,3.5,Criollo,Venezuela,6.983,-64.588
Idilio (Felchlin),"Carenero Superior, Urrutia, Barlovento",737,2011,0.70,Switzerland,4,Trinitario,Venezuela,6.983,-64.588
Idilio (Felchlin),Coopertiva Amazona w/ nibs,737,2011,0.72,Switzerland,4,Criollo,Venezuela,6.983,-64.588
Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, w/ nibs",737,2011,0.72,Switzerland,4,,Venezuela,6.983,-64.588
Kto,Ocumare,1422,2014,0.72,U.S.A.,2.75,,Venezuela,6.983,-64.588
L.A. Burdick (Felchlin),Chuao,927,2012,0.68,U.S.A.,3.75,Trinitario,Venezuela,6.983,-64.588
L.A. Burdick (Felchlin),Venzuela,597,2010,0.71,U.S.A.,3,,Venezuela,6.983,-64.588
La Maison du Chocolat (Valrhona),"Porcelana, Pariguan",346,2009,0.69,France,3.5,Criollo (Porcelana),Venezuela,6.983,-64.588
L'Amourette,Carenero Superior,833,2012,0.75,U.S.A.,3,Trinitario,Venezuela,6.983,-64.588
L'Amourette,Rio Caribe,833,2012,0.75,U.S.A.,3,Trinitario,Venezuela,6.983,-64.588
Malmo,Chuao,1856,2016,0.70,Sweden,3,,Venezuela,6.983,-64.588
Mana,Venezuela,1219,2014,0.74,U.S.A.,2.75,,Venezuela,6.983,-64.588
Manufaktura Czekolady,Porcelana,1255,2014,0.70,Poland,3.75,Criollo,Venezuela,6.983,-64.588
Mast Brothers,Chuao,999,2012,0.73,U.S.A.,2.75,Trinitario,Venezuela,6.983,-64.588
Mast Brothers,"Chuao, Med. Roast",701,2011,0.76,U.S.A.,3,Trinitario,Venezuela,6.983,-64.588
Mast Brothers,"Chuao, Dark Roast",709,2011,0.70,U.S.A.,3,Trinitario,Venezuela,6.983,-64.588
Mast Brothers,"Chuao, Light Roast",713,2011,0.81,U.S.A.,2.75,Trinitario,Venezuela,6.983,-64.588
Mast Brothers,Patanemo,572,2010,0.81,U.S.A.,2.75,Criollo,Venezuela,6.983,-64.588
Mast Brothers,Ocumare de la Costa,572,2010,0.75,U.S.A.,3,,Venezuela,6.983,-64.588
Meadowlands,Venezuela,1287,2014,0.70,U.S.A.,2.75,,Venezuela,6.983,-64.588
Michel Cluizel,"Carenero Superior, Concepcion",117,2007,0.66,France,3.5,Trinitario,Venezuela,6.983,-64.588
Middlebury,"Patanemo, Epoch, Donaldo",1490,2015,0.75,U.S.A.,3.75,,Venezuela,6.983,-64.588
Na�ve,Chuao,1399,2014,0.75,Lithuania,2.75,Trinitario,Venezuela,6.983,-64.588
Na�ve,Barinas,1399,2014,0.70,Lithuania,3,,Venezuela,6.983,-64.588
Neuhaus (Callebaut),Ocumare,24,2006,0.71,Belgium,3,Criollo,Venezuela,6.983,-64.588
Nibble,Patanemo,1526,2015,0.72,U.S.A.,2.25,Criollo,Venezuela,6.983,-64.588
Noir d' Ebine,Venezuela,837,2012,0.70,U.S.A.,3,,Venezuela,6.983,-64.588
Nuance,"Canoabo, 2013",1458,2015,0.70,U.S.A.,3,Criollo,Venezuela,6.983,-64.588
Patric,"Rio Caribe, Paria Penninsula",439,2009,0.70,U.S.A.,3.5,Trinitario,Venezuela,6.983,-64.588
Pierre Marcolini,Chuao,478,2010,0.75,Belgium,3,Criollo,Venezuela,6.983,-64.588
Pierre Marcolini,"Ocumare, Puerto Cabello, Venezuela",93,2006,0.72,Belgium,4,Criollo,Venezuela,6.983,-64.588
Potomac,"Cuyagua, 2013",1387,2014,0.70,U.S.A.,3.75,,Venezuela,6.983,-64.588
Pralus,"Porcelana, S. of Lake Maracaibo",717,2011,0.75,France,3.25,Criollo (Porcelana),Venezuela,6.983,-64.588
Pralus,Chuao,486,2010,0.75,France,3.5,Trinitario,Venezuela,6.983,-64.588
Pralus,Cuyagua,451,2009,0.75,France,2,,Venezuela,6.983,-64.588
Pralus,"Barlovento, Venezuela",32,2006,0.75,France,3.5,Trinitario,Venezuela,6.983,-64.588
Pump Street Bakery,"Patanemo Vil., Carabobo State, Tisano family",1223,2014,0.75,U.K.,2.75,Trinitario,Venezuela,6.983,-64.588
Pura Delizia,Venezuela,931,2012,0.73,Italy,2.75,,Venezuela,6.983,-64.588
Rogue,"Caranero, Choc. Garage Exclusive",1446,2015,0.70,U.S.A.,3.75,,Venezuela,6.983,-64.588
Rogue,Porcelana,1209,2014,0.80,U.S.A.,3.75,Criollo,Venezuela,6.983,-64.588
Rogue,Rio Caribe,327,2009,0.70,U.S.A.,3.5,Trinitario,Venezuela,6.983,-64.588
Rozsavolgyi,Sur del Lago,809,2012,0.84,Hungary,2.5,,Venezuela,6.983,-64.588
Rozsavolgyi,"Rio Caribe Superior, Paria Penninsula",871,2012,0.76,Hungary,2.25,Trinitario,Venezuela,6.983,-64.588
Rozsavolgyi,Carenero Superior,713,2011,0.73,Hungary,3.5,Criollo,Venezuela,6.983,-64.588
Rozsavolgyi,Porcelana,717,2011,0.71,Hungary,2.5,,Venezuela,6.983,-64.588
Rozsavolgyi,"Aragua, Trincheras",717,2011,0.70,Hungary,3.5,,Venezuela,6.983,-64.588
Salgado,Carenero Superior,288,2008,0.70,Argentina,3.5,Trinitario,Venezuela,6.983,-64.588
Scharffen Berger,Cuyagua,135,2007,0.75,U.S.A.,3.75,,Venezuela,6.983,-64.588
Shark Mountain,Cuyagua,1466,2015,0.77,U.S.A.,2.75,Criollo,Venezuela,6.983,-64.588
"Smooth Chocolator, The","Guasare, La Sierra de Perija, batch gua001",1740,2016,0.70,Australia,3.75,Criollo,Venezuela,6.983,-64.588
"Smooth Chocolator, The","Chuao, batch 3",1666,2015,0.70,Australia,3.75,Trinitario,Venezuela,6.983,-64.588
Solstice,Amazonas,1157,2013,0.70,U.S.A.,3,,Venezuela,6.983,-64.588
Soma,CSB Chama,1594,2015,0.70,Canada,3.5,Criollo,Venezuela,6.983,-64.588
Soma,Porcelana,1594,2015,0.75,Canada,4,,Venezuela,6.983,-64.588
Soma,Patanemo,1077,2013,0.70,Canada,3.75,Criollo,Venezuela,6.983,-64.588
Soma,"Maracaibo, El Vigia",1077,2013,0.70,Canada,4,Criollo,Venezuela,6.983,-64.588
Soma,Orinoco,1173,2013,0.70,Canada,3.25,Forastero,Venezuela,6.983,-64.588
Soma,Carenero Superior,951,2012,0.70,Canada,3.75,Trinitario,Venezuela,6.983,-64.588
Soma,Chuao,688,2011,0.70,Canada,3.5,Criollo,Venezuela,6.983,-64.588
Soma,Ocumare,387,2009,0.70,Canada,3.75,Criollo,Venezuela,6.983,-64.588
Soul,Venezuela,1936,2017,0.75,Canada,3.5,,Venezuela,6.983,-64.588
Suruca Chocolate,Venezuela,1796,2016,0.70,Venezuela,2.75,,Venezuela,6.983,-64.588
Suruca Chocolate,Venezuela,1796,2016,0.60,Venezuela,3,,Venezuela,6.983,-64.588
Szanto Tibor,Porcelana,1263,2014,0.70,Hungary,3.5,Criollo,Venezuela,6.983,-64.588
Szanto Tibor,Crudo,761,2011,0.70,Hungary,3,,Venezuela,6.983,-64.588
Tejas,Concepcion*,971,2012,0.80,U.S.A.,3,,Venezuela,6.983,-64.588
